codigo_tienda,tipo_tienda,latitud_tienda,longitud_tienda
14812028,Tienda especializada,3.40211808,-76.52568134
14388938,Tienda especializada,3.46876541705,-76.4849358629
12370698,Tienda especializada,3.4007429201,-76.5248394607
10313583,Tienda especializada,3.36954367267,-76.5236640279
14358071,Tienda especializada,3.41904574147,-76.4977299338
12152989,Tienda especializada,3.37111916819,-76.5277405079
11576899,Tienda especializada,3.366646481,-76.53708628
11863172,Tienda especializada,3.41394042118,-76.5194242546
11272457,Tienda especializada,3.475004243,-76.52895239
10005445,Tienda especializada,3.470986708,-76.52066755
11303609,Tienda especializada,3.36680096973,-76.5279684014
10604916,Tienda especializada,3.40881173541,-76.5394800806
10313781,Tienda especializada,3.39283102143,-76.5384882068
14540827,Tienda especializada,3.466582722,-76.52722362
12779393,Tienda especializada,3.405131136,-76.52343943
13550629,Tienda especializada,3.464694927,-76.53012967
13575071,Tienda especializada,3.492143664,-76.52249939
11341260,Tienda especializada,3.475004243,-76.52895239
11397643,Tienda especializada,3.42257367815,-76.5169664501
11066180,Tienda especializada,3.485701636,-76.51634944
13369590,Tienda especializada,3.45807160152,-76.5193806892
11096278,Tienda especializada,3.38594142802,-76.5386893824
14185151,Tienda especializada,3.41432528404,-76.547986238
11531308,Tienda especializada,3.4345874277,-76.5340571428
11540804,Tienda especializada,3.39628484247,-76.5289274763
13255047,Tienda especializada,3.42244798673,-76.5169763335
13388707,Tienda especializada,3.46308454963,-76.5268437884
15476302,Tienda especializada,3.47852235818,-76.5252389267
11463007,Tienda especializada,3.463827949,-76.52855006
11601630,Tienda especializada,3.36152094887,-76.5313066625
12078598,Tienda especializada,3.42270217169,-76.5383152212
13336466,Tienda especializada,3.448785664,-76.51768019
10305233,Tienda especializada,3.452740386,-76.5298559
13541800,Tienda especializada,3.459298045,-76.52978973
14755508,Tienda especializada,3.35288758771,-76.5303610093
12302436,Tienda especializada,3.42000319096,-76.511132127
12201554,Tienda especializada,3.45321338461,-76.5307588023
12302386,Tienda especializada,3.344786497,-76.53086927
13198510,Tienda especializada,3.481345345,-76.52519027
14312961,Tienda especializada,3.44944935521,-76.5184958318
11127065,Tienda especializada,3.494211515,-76.49497145
10327682,Tienda especializada,3.472221104,-76.52659178
13800750,Tienda especializada,3.3865076,-76.53995434
13821145,Tienda especializada,3.33640704,-76.54817371
15091770,Tienda especializada,3.46558324,-76.52657181
14214894,Tienda especializada,3.485806948,-76.51629204
13289657,Tienda especializada,3.36453909608,-76.5351118908
14524102,Tienda especializada,3.406059076,-76.5433121978
11540085,Tienda especializada,3.450511367,-76.54039205
11254026,Tienda especializada,3.45046605705,-76.5332956033
14304075,Tienda especializada,3.479870313,-76.51571769
11843760,Tienda especializada,3.44499263582,-76.5064678622
10602407,Tienda especializada,3.425814202,-76.54594178
14311997,Tienda especializada,3.471010433,-76.50918578
10315497,Tienda especializada,3.393923355,-76.54558402
11792751,Tienda especializada,3.470006149,-76.48637994
14015358,Tienda especializada,3.36201651,-76.53149665
11805868,Tienda especializada,3.35793301596,-76.5303813873
11732088,Tienda especializada,3.40603540939,-76.5462974598
14314520,Tienda especializada,3.382596817,-76.5372441
12679510,Tienda especializada,3.38454672476,-76.5242707766
10336139,Tienda especializada,3.36457710896,-76.5316927337
12621421,Tienda especializada,3.345240815,-76.53061896
